,created_at,tweet_id,tweet_text,screen_name,name,account_creation_date,urls
0,2022-05-04 05:43:11,1521727116630364160,"@RNTata2000 @TataCompanies @airindiain @DGCAIndia:
1. Air India flight booked in November 2021,
2. Intimation of ca… https://t.co/nmyjRVmWmr",legalallianze,Advocate Abhishek Jain,Mon May 27 08:26:38 +0000 2019,"[{'url': 'https://t.co/nmyjRVmWmr', 'expanded_url': 'https://twitter.com/i/web/status/1521727116630364160', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]"
1,2022-05-04 05:42:40,1521726984497545216,@TataCLiQCare @RNTata2000 I have already sent it to you on 26 Apr and you are still waiting for it. Have a look . Y… https://t.co/0BEy4N3Ld5,ku_ritesh,RITESH KUMAR,Sat Feb 11 13:32:22 +0000 2012,"[{'url': 'https://t.co/0BEy4N3Ld5', 'expanded_url': 'https://twitter.com/i/web/status/1521726984497545216', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]"
2,2022-05-04 05:41:59,1521726814741479424,"@Santosh_mishra2 @RNTata2000 नमस्ते, आपको हो रही समस्या के बारे में सुनकर हमें खेद है और इस विषय पर  अधिक जानना चाह… https://t.co/u1eHyfkrgE",TataMotors,Tata Motors,Tue Jul 31 05:39:36 +0000 2012,"[{'url': 'https://t.co/u1eHyfkrgE', 'expanded_url': 'https://twitter.com/i/web/status/1521726814741479424', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]"
3,2022-05-04 05:41:42,1521726741940940800,"@Santosh_mishra2 @RNTata2000 @santosh_mishra2 Hi Santosh, we are concerned to hear about this and would like to kno… https://t.co/oMDtQcWRkT",TataMotors,Tata Motors,Tue Jul 31 05:39:36 +0000 2012,"[{'url': 'https://t.co/oMDtQcWRkT', 'expanded_url': 'https://twitter.com/i/web/status/1521726741940940800', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]"
4,2022-05-04 05:38:35,1521725957681336320,"RT @ghoshneelanjan: IMPORTANT QUESTION: If a flight is cancelled by @airindiain and the refund has been asked by the customer, why no email…",claimcompanies,ClaimCompanies.com,Tue Jul 31 16:57:57 +0000 2018,[]
5,2022-05-04 05:37:05,1521725580903092224,"@RNTata2000 Sir, I had travelled by Air Vistara on 21.04.22 &amp; 24.04.22. My booking reference no. was L9VG70. I have… https://t.co/hK3sOVyOvo",ccmcateringecr,"Vineet Kumar, IRTS",Tue Mar 13 09:36:02 +0000 2018,"[{'url': 'https://t.co/hK3sOVyOvo', 'expanded_url': 'https://twitter.com/i/web/status/1521725580903092224', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [121, 144]}]"
6,2022-05-04 05:36:43,1521725488561016834,RT @dranirudh_13: #neetpgpostponement! If @mansukhmandviya or @MoHFW_INDIA does not immediately intervene and allow NEET PG 2022 to happen…,AshutoshKoshale,Ashutosh Koshale,Wed May 04 04:21:22 +0000 2022,[]
7,2022-05-04 05:35:19,1521725134532317184,"RT @tatatrusts: Tata Trusts’ Chairman, @RNTata2000 at the inauguration of 7 cancer care hospitals in Assam.
@CareAssam https://t.co/lmV1HRv…",Kannan09022648,Kannan,Mon Aug 10 03:18:03 +0000 2020,[]
8,2022-05-04 05:33:49,1521724759402496001,@EurekaForbes @RNTata2000  No response only automated mails are getting exchanged. If you can't serve the customer… https://t.co/4B686AcIV8,VKCrusader,VK,Sat Sep 02 07:46:11 +0000 2017,"[{'url': 'https://t.co/4B686AcIV8', 'expanded_url': 'https://twitter.com/i/web/status/1521724759402496001', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]"
9,2022-05-04 05:30:09,1521723835661230080,RT @Dev_Jeet_: Senior advocates of Puri Bar Association on strike against the #illegalheritagecorridor project work going on near ShriMandi…,knothing_,Knothing. #ବିଶ୍ବସ୍ତରୀୟ™.,Sat Feb 04 09:56:18 +0000 2017,[]
